league_id,country,team_id,team_name,current_template_players,target_squad_size,missing_players_for_team,extra_template_players,status
esp,Spain,sevilla,Sevilla FC,25,25,0,0,ready
ukr,Ukraine,shakhtar-donetsk,Shakhtar Donetsk,0,25,25,0,needs_real_players
irl,Ireland,shamrock-rovers,Shamrock Rovers,25,25,0,0,ready
irl,Ireland,shelbourne,Shelbourne FC,25,25,0,0,ready
den,Denmark,silkeborg,Silkeborg IF,0,25,25,0,needs_real_players
bel,Belgium,sint-truiden,Sint-Truidense VV,0,25,25,0,needs_real_players
tur,Turkey,sivasspor,Sivasspor,0,25,25,0,needs_real_players
fin,Finland,sjk,SJK Seinäjoki,0,25,25,0,needs_real_players
aut,Austria,austria-klagenfurt,SK Austria Klagenfurt,0,25,25,0,needs_real_players
nor,Norway,brann,SK Brann,0,25,25,0,needs_real_players
cze,Czechia,ceske-budejovice,SK Dynamo České Budějovice,0,25,25,0,needs_real_players
aut,Austria,rapid-wien,SK Rapid Wien,0,25,25,0,needs_real_players
cze,Czechia,sigma-olomouc,SK Sigma Olomouc,0,25,25,0,needs_real_players
cze,Czechia,slavia-prague,SK Slavia Prague,0,25,25,0,needs_real_players
aut,Austria,sturm-graz,SK Sturm Graz,0,25,25,0,needs_real_players
por,Portugal,benfica,SL Benfica,0,25,25,0,needs_real_players
bgr,Bulgaria,slavia-sofia,Slavia Sofia,0,25,25,0,needs_real_players
irl,Ireland,sligo-rovers,Sligo Rovers,25,25,0,0,ready
svk,Slovakia,slovan-bratislava,Slovan Bratislava,0,25,25,0,needs_real_players
eng,England,southampton,Southampton,25,25,0,0,ready
ned,Netherlands,sparta-rotterdam,Sparta Rotterdam,25,25,3,0,needs_real_players
srb,Serbia,spartak-subotica,Spartak Subotica,0,25,25,0,needs_real_players
svk,Slovakia,spartak-trnava,Spartak Trnava,0,25,25,0,needs_real_players
bgr,Bulgaria,spartak-varna,Spartak Varna,0,25,25,0,needs_real_players
bel,Belgium,charleroi,Sporting Charleroi,0,25,25,0,needs_real_players
por,Portugal,sporting-cp,Sporting CP,0,25,25,0,needs_real_players
ita,Italy,lazio,SS Lazio,25,25,3,0,needs_real_players
ita,Italy,napoli,SSC Napoli,23,25,2,0,needs_real_players
sco,Scotland,st-johnstone,St Johnstone FC,0,25,25,0,needs_real_players
sco,Scotland,st-mirren,St Mirren FC,0,25,25,0,needs_real_players
irl,Ireland,st-patricks-athletic,St Patrick's Athletic,25,25,0,0,ready
fra,France,brest,Stade Brestois 29,25,25,2,0,needs_real_players
fra,France,reims,Stade de Reims,25,25,2,0,needs_real_players
fra,France,rennes,Stade Rennais FC,26,25,1,1,needs_real_players
pol,Poland,stal-mielec,Stal Mielec,0,25,25,0,needs_real_players
bel,Belgium,standard-liege,Standard Liège,0,25,25,0,needs_real_players
isl,Iceland,stjarnan,Stjarnan,0,25,25,0,needs_real_players
nor,Norway,stromsgodset,Strømsgodset IF,0,25,25,0,needs_real_players
den,Denmark,sonderjyske,Sønderjyske,0,25,25,0,needs_real_players
srb,Serbia,tekstilac-odzaci,Tekstilac Odžaci,0,25,25,0,needs_real_players
ita,Italy,torino,Torino FC,25,25,4,0,needs_real_players
eng,England,tottenham-hotspur,Tottenham Hotspur,25,25,0,0,ready
fra,France,toulouse,Toulouse FC,25,25,1,0,needs_real_players
tur,Turkey,trabzonspor,Trabzonspor,0,25,25,0,needs_real_players
nor,Norway,tromso,Tromsø IL,0,25,25,0,needs_real_players
srb,Serbia,tsc-backa-topola,TSC Bačka Topola,0,25,25,0,needs_real_players
ger,Germany,hoffenheim,TSG 1899 Hoffenheim,25,25,3,0,needs_real_players
aut,Austria,hartberg,TSV Hartberg,0,25,25,0,needs_real_players
esp,Spain,las-palmas,UD Las Palmas,25,25,0,0,ready
ita,Italy,udinese,Udinese Calcio,25,25,5,0,needs_real_players
rou,Romania,universitatea-cluj,Universitatea Cluj,0,25,25,0,needs_real_players
rou,Romania,universitatea-craiova,Universitatea Craiova,0,25,25,0,needs_real_players
ita,Italy,lecce,US Lecce,25,25,3,0,needs_real_players
rou,Romania,uta-arad,UTA Arad,0,25,25,0,needs_real_players
esp,Spain,valencia,Valencia CF,25,25,0,0,ready
isl,Iceland,valur,Valur Reykjavík,0,25,25,0,needs_real_players
den,Denmark,vejle,Vejle BK,0,25,25,0,needs_real_players
ita,Italy,venezia,Venezia FC,25,25,2,0,needs_real_players
ukr,Ukraine,veres-rivne,Veres Rivne,0,25,25,0,needs_real_players
isl,Iceland,vestri,Vestri Ísafjörður,0,25,25,0,needs_real_players
ger,Germany,stuttgart,VfB Stuttgart,25,25,3,0,needs_real_players
ger,Germany,bochum,VfL Bochum,25,25,3,0,needs_real_players
ger,Germany,wolfsburg,VfL Wolfsburg,25,25,2,0,needs_real_players
den,Denmark,viborg,Viborg FF,0,25,25,0,needs_real_players
nor,Norway,viking,Viking FK,0,25,25,0,needs_real_players
esp,Spain,villarreal,Villarreal CF,25,25,0,0,ready
por,Portugal,vitoria-guimaraes,Vitória SC,0,25,25,0,needs_real_players
gre,Greece,volos,Volos NFC,0,25,25,0,needs_real_players
ukr,Ukraine,vorskla-poltava,Vorskla Poltava,0,25,25,0,needs_real_players
fin,Finland,vps,VPS Vaasa,0,25,25,0,needs_real_players
swe,Sweden,vasteras-sk,Västerås SK,0,25,25,0,needs_real_players
nor,Norway,valerenga,Vålerenga IF,0,25,25,0,needs_real_players
isl,Iceland,vikingur-reykjavik,Víkingur Reykjavík,0,25,25,0,needs_real_players
pol,Poland,warta-poznan,Warta Poznań,0,25,25,0,needs_real_players
irl,Ireland,waterford,Waterford FC,25,25,0,0,ready
ger,Germany,werder-bremen,Werder Bremen,25,25,4,0,needs_real_players
eng,England,west-ham-united,West Ham United,25,25,0,0,ready
ned,Netherlands,willem-ii,Willem II,25,25,3,0,needs_real_players
pol,Poland,wisla-krakow,Wisła Kraków,0,25,25,0,needs_real_players
aut,Austria,wolfsberger-ac,Wolfsberger AC,0,25,25,0,needs_real_players
eng,England,wolverhampton-wanderers,Wolverhampton Wanderers,25,25,0,0,ready
che,Switzerland,yverdon,Yverdon Sport FC,0,25,25,0,needs_real_players
pol,Poland,zaglebie-lubin,Zagłębie Lubin,0,25,25,0,needs_real_players
hun,Hungary,zalaegerszeg,Zalaegerszegi TE,0,25,25,0,needs_real_players
ukr,Ukraine,zorya-luhansk,Zorya Luhansk,0,25,25,0,needs_real_players
tur,Turkey,caykur-rizespor,Çaykur Rizespor,0,25,25,0,needs_real_players
isl,Iceland,ia-akranes,ÍA Akranes,0,25,25,0,needs_real_players
hun,Hungary,ujpest,Újpest FC,0,25,25,0,needs_real_players
srb,Serbia,cukaricki,Čukarički,0,25,25,0,needs_real_players
pol,Poland,slask-wroclaw,Śląsk Wrocław,0,25,25,0,needs_real_players
